speed_ratio,kW
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
32.95,0.77
33.14,0.47
33.62,0.57
33.57,0.50
33.64,0.47
33.61,0.50
33.70,0.53
33.58,0.53
33.50,0.53
32.28,0.47
32.02,0.43
31.82,0.47
31.75,0.45
31.91,0.47
31.82,0.47
31.86,0.50
31.89,0.47
31.92,0.50
30.72,0.40
28.61,0.33
28.57,0.33
28.53,0.30
29.61,0.43
31.95,0.43
31.93,0.40
32.13,0.47
32.11,0.43
31.99,0.43
32.11,0.47
32.04,0.47
32.05,0.47
32.04,0.43
30.75,0.40
28.71,0.37
28.51,0.30
28.63,0.37
28.60,0.40
28.49,0.33
28.48,0.43
28.55,0.40
28.71,0.40
28.72,0.33
9.47,0.13
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
36.54,0.90
37.04,0.70
36.24,0.67
36.26,0.60
35.81,0.60
35.79,0.60
35.65,0.57
35.36,0.57
35.20,0.57
35.36,0.57
35.06,0.57
35.07,0.63
34.85,0.53
34.89,0.57
34.81,0.67
34.95,0.53
34.83,0.43
31.38,0.43
31.42,0.43
31.52,0.50
32.89,0.57
35.18,0.57
35.18,0.60
35.38,0.57
35.28,0.53
35.58,0.57
35.48,0.63
35.20,0.63
35.29,0.53
35.24,0.57
32.30,0.43
31.56,0.43
31.40,0.43
31.35,0.37
30.79,0.33
30.66,0.37
30.17,0.37
29.91,0.37
30.09,0.43
30.32,0.37
10.12,0.13
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
36.18,0.63
36.65,0.70
36.95,0.63
36.37,0.60
35.89,0.53
36.06,0.60
36.09,0.67
35.97,0.60
35.92,0.70
35.87,0.50
35.92,0.60
35.38,0.63
35.22,0.57
34.82,0.50
34.80,0.50
34.31,0.47
31.29,0.50
29.94,0.37
29.94,0.40
29.97,0.33
33.98,0.40
33.79,0.60
33.35,0.47
33.34,0.47
33.48,0.50
33.80,0.50
33.87,0.53
33.85,0.50
34.08,0.57
34.22,0.53
34.39,0.53
32.19,0.43
30.82,0.40
30.55,0.37
30.15,0.43
30.23,0.30
30.27,0.37
30.20,0.47
29.94,0.33
29.63,0.40
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
36.82,0.67
36.79,0.70
36.53,0.60
35.78,0.67
35.00,0.57
34.19,0.53
33.38,0.53
32.90,0.53
32.99,0.50
33.13,0.50
33.29,0.50
33.18,0.50
33.17,0.57
33.05,0.50
33.15,0.47
32.00,0.50
29.57,0.30
29.60,0.33
29.51,0.30
29.63,0.33
30.76,0.40
33.22,0.45
33.23,0.43
33.18,0.40
33.09,0.43
33.32,0.50
33.28,0.50
33.33,0.50
33.19,0.47
29.60,0.37
29.64,0.37
29.77,0.40
29.74,0.40
29.54,0.40
29.46,0.40
29.52,0.43
29.26,0.37
29.49,0.33
29.44,0.40
29.51,0.43
0.00,0.13
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
8.13,0.10
35.31,0.60
35.74,0.60
35.88,0.57
36.05,0.57
36.08,0.63
35.79,0.53
35.58,0.63
35.46,0.60
35.54,0.63
35.53,0.63
35.45,0.60
35.45,0.55
35.45,0.57
35.56,0.57
35.69,0.63
33.17,0.50
32.27,0.43
32.34,0.53
32.23,0.43
34.51,0.50
34.64,0.57
34.49,0.57
33.41,0.53
32.48,0.47
32.26,0.47
32.04,0.47
32.01,0.47
30.82,0.47
28.65,0.40
28.60,0.30
28.59,0.37
28.58,0.40
28.53,0.30
28.45,0.33
28.54,0.33
28.52,0.33
28.58,0.33
28.61,0.33
28.58,0.37
28.56,0.47
0.00,0.27
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
32.55,1.00
44.61,1.13
44.53,1.07
44.70,1.03
37.19,0.63
34.66,0.57
34.63,0.63
34.64,0.57
34.51,0.53
34.65,0.57
34.46,0.57
34.17,0.53
33.92,0.55
33.52,0.53
33.45,0.53
33.57,0.50
33.44,0.50
32.39,0.47
29.91,0.43
29.89,0.47
29.95,0.37
29.99,0.43
30.00,0.40
30.05,0.37
31.53,0.43
34.05,0.50
34.01,0.50
33.90,0.57
33.99,0.53
33.98,0.53
34.02,0.53
33.95,0.50
32.79,0.60
30.37,0.37
30.31,0.43
30.31,0.40
30.30,0.40
30.48,0.33
30.35,0.33
30.42,0.40
30.40,0.47
30.47,0.43
30.21,0.40
30.19,0.33
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
22.12,0.43
44.85,1.15
35.42,0.77
35.36,0.60
35.52,0.60
35.63,0.60
35.74,0.50
35.66,0.57
35.69,0.60
35.09,0.63
33.94,0.53
32.66,0.50
32.16,0.43
32.15,0.47
32.02,0.40
30.94,0.40
28.64,0.37
28.66,0.30
28.72,0.33
28.81,0.35
32.21,0.40
32.13,0.47
32.04,0.50
32.25,0.43
32.22,0.47
32.22,0.50
32.30,0.43
32.20,0.50
32.22,0.43
32.16,0.40
32.11,0.40
28.59,0.37
28.65,0.33
28.76,0.37
28.82,0.33
29.73,0.37
29.65,0.40
29.66,0.45
29.87,0.40
30.03,0.50
30.14,0.37
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
11.34,0.17
34.71,0.57
35.95,0.63
36.43,0.63
36.58,0.70
36.58,0.70
35.35,0.57
35.22,0.53
34.36,0.47
33.39,0.57
32.62,0.53
32.53,0.43
32.41,0.50
32.48,0.43
32.54,0.50
32.52,0.47
29.12,0.37
28.80,0.33
28.71,0.30
28.65,0.30
28.96,0.43
32.36,0.43
32.57,0.47
32.43,0.47
32.51,0.50
32.61,0.43
32.54,0.47
32.75,0.53
32.58,0.43
32.47,0.47
32.58,0.50
32.62,0.53
31.41,0.47
28.99,0.33
29.10,0.37
29.00,0.37
28.89,0.30
28.89,0.27
28.84,0.33
29.24,0.37
29.15,0.30
9.87,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
35.93,0.40
34.90,0.60
35.58,0.67
35.90,0.70
36.05,0.60
36.06,0.60
35.64,0.53
34.00,0.57
33.12,0.47
32.41,0.47
32.24,0.47
32.22,0.43
32.06,0.50
32.39,0.47
32.27,0.50
32.17,0.50
28.59,0.33
28.95,0.30
29.17,0.43
29.14,0.40
30.43,0.37
32.59,0.43
32.53,0.43
32.64,0.43
32.42,0.47
32.55,0.50
32.42,0.50
32.28,0.47
32.34,0.55
32.43,0.40
31.03,0.43
28.74,0.45
28.63,0.33
28.84,0.33
28.74,0.30
28.78,0.37
28.79,0.33
28.78,0.40
28.67,0.33
28.88,0.33
28.79,0.33
0.00,0.03
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
23.92,0.37
34.48,0.60
35.30,0.57
35.21,0.60
35.10,0.57
34.05,0.53
32.94,0.47
32.95,0.50
32.72,0.43
32.52,0.40
32.33,0.43
32.30,0.43
32.36,0.47
32.35,0.47
32.59,0.50
32.60,0.47
29.11,0.33
28.98,0.40
29.13,0.30
29.10,0.33
29.19,0.37
29.12,0.40
29.30,0.33
30.57,0.47
32.98,0.50
32.77,0.50
32.64,0.47
32.62,0.47
32.53,0.47
32.79,0.40
30.36,0.27
29.07,0.40
29.21,0.33
29.21,0.33
29.24,0.37
29.30,0.33
29.06,0.37
29.12,0.33
29.22,0.33
35.00,0.53
39.01,0.77
39.41,0.77
39.41,0.70
39.10,0.77
39.52,0.87
39.15,0.80
39.25,0.73
39.05,0.77
39.19,0.75
39.22,0.70
39.26,0.80
39.13,0.73
39.07,0.73
39.17,0.70
39.18,0.80
39.32,0.73
39.36,0.77
39.40,0.77
39.43,0.80
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
